Name,Type,Agency,Dept.,URL,Handle,Abandoned,Personal Account
State Capitol Commission,Facebook,Administration,Missouri State Capitol Commission,https://www.facebook.com/MissouriStateCapitol,MissouriStateCapitol,,
MoBroadbandNow,Facebook,Administration,,https://www.facebook.com/MoBroadbandNow/,MoBroadbandNow,,
State Employees' Retirement System Board of Trustees (MOSERS),Facebook,Administration,Missouri State Employees' Retirement System Board of Trustees (MOSERS),https://www.facebook.com/MOSERSRetirement,MOSERSRetirement,,
Office of Equal Opportunity,Facebook,Administration,Missouri Office of Equal Opportunity,https://www.facebook.com/OEO.MO,OEO.MO,,
Missouri School Violence Hotline,Facebook,Social Services,,https://www.facebook.com/Missouri-School-Violence-Hotline-138129634760/?ref=share,Missouri-School-Violence-Hotline-138129634760/?ref=share,,
Department of Social Services,Facebook,Social Services,Department of Social Services,https://www.facebook.com/MOSocialServices/,MOSocialServices,,
MO HealthNet,Facebook,Social Services,,https://www.facebook.com/pages/MO-HealthNet/134503276629240,pages/MO-HealthNet/134503276629240,,
Missouri National Guard,Facebook,Public Safety,,https://www.facebook.com/Missouri.National.Guard,Missouri.National.Guard,,
Division of Fire Safety Public Education,Facebook,Public Safety,,https://www.facebook.com/MissouriDivisionOfFireSafetyPublicEducation,MissouriDivisionOfFireSafetyPublicEducation,,
Missouri National Guard Recruiting,Facebook,Public Safety,,https://www.facebook.com/MissouriNationalGuardRecruiting,MissouriNationalGuardRecruiting,,
ShakeOut,Facebook,Public Safety,Seismic Safety Commission,https://www.facebook.com/MissouriShakeOut,MissouriShakeOut,,
Missouri Veterans Commission,Facebook,Public Safety,Veterans Commission,https://www.facebook.com/MissouriVeteransCommission,MissouriVeteransCommission,,
Division of Fire Safety Training & Certification Unit,Facebook,Public Safety,,https://www.facebook.com/mofiresafetytraining,mofiresafetytraining,,
Department of Public Safety,Facebook,Public Safety,Department of Public Safety,https://www.facebook.com/MoPublicSafety/,MoPublicSafety,,
StormAware,Facebook,Public Safety,,https://www.facebook.com/StormAware,StormAware,,
FAFSA Frenzy - Columbia,Facebook,Higher Education,,https://www.facebook.com/fafsafrenzycomo,fafsafrenzycomo,,
Journey to College,Facebook,Higher Education,,https://www.facebook.com/journeytocollege,journeytocollege,,
Midwestern Higher Education Compact,Facebook,Higher Education,Midwestern Higher Education Commission,https://www.facebook.com/mhec12,mhec12,,
Missouri Higher Education Loan Authority (MOHELA),Facebook,Higher Education,Missouri Higher Education Loan Authority (MOHELA),https://www.facebook.com/MOHELA.USA,MOHELA.USA,,
Department of Higher Education,Facebook,Higher Education,Department of Higher Education,https://www.facebook.com/MoHigherEd,MoHigherEd,,
Missouri Lottery,Facebook,Revenue,State Lottery Commission,https://www.facebook.com/MOLottery,MOLottery,,
DECA,Facebook,Elementary and Secondary Education,,https://www.facebook.com/MissouriDECA/,MissouriDECA,,
Missouri Family Career and Community Leaders of America (MoFCCLA),Facebook,Elementary and Secondary Education,,https://www.facebook.com/MissouriFCCLA/,MissouriFCCLA,,
Missouri Assistive Technology,Facebook,Elementary and Secondary Education,Missouri Assistive Technology Advisory Council,https://www.facebook.com/MOAssistiveTechnology,MOAssistiveTechnology,,
Department of Elementary and Secondary Education,Facebook,Elementary and Secondary Education,Department of Elementary and Secondary Education,https://www.facebook.com/MOEducation,MOEducation,,
Missouri Leadership Academy,Facebook,Elementary and Secondary Education,,https://www.facebook.com/MOLeadershipAcademy/,MOLeadershipAcademy,,
TSA Technology Student Association,Facebook,Elementary and Secondary Education,,https://www.facebook.com/motsafb/,motsafb,,
Education Commission of the States,Facebook,Elementary and Secondary Education,Education Commission of the States,https://www.facebook.com/pages/Education-Commission-of-the-States/118723537176,pages/Education-Commission-of-the-States/118723537176,,
Missouri Business Education Association (MBEA),Facebook,Elementary and Secondary Education,,https://www.facebook.com/pages/Missouri-Business-Education-Association/167056963317776,pages/Missouri-Business-Education-Association/167056963317776,,
Commission for the Deaf and Hard of Hearing,Facebook,Elementary and Secondary Education,Missouri Commission for the Deaf and Hard of Hearing,https://www.facebook.com/pages/Missouri-Commission-for-the-Deaf-and-Hard-of-Hearing-MCDHH/206161516078499,pages/Missouri-Commission-for-the-Deaf-and-Hard-of-Hearing-MCDHH/206161516078499,,
Phi Beta Lamba,Facebook,Elementary and Secondary Education,,https://www.facebook.com/pages/Missouri-Phi-Beta-Lambda/191331977569203,pages/Missouri-Phi-Beta-Lambda/191331977569203,,
Board of Trustees Public School Retirement System of Missouri,Facebook,Elementary and Secondary Education,Public School Retirement System of Missouri Board of Trustees,https://www.facebook.com/psrspeers,psrspeers,,
Department of Insurance Financial Institutions and Professional Registration,Facebook,Insurance,Department of Insurance Financial Institutions and Professional Registration,https://www.facebook.com/MissouriDIFP,MissouriDIFP,,
Department of Conservation,Facebook,Conservation,Department of Conservation,https://www.facebook.com/moconservation/,moconservation,,
Department of Corrections,Facebook,Corrections,Department of Corrections,https://www.facebook.com/MissouriCorrections/,MissouriCorrections,,
Kansas City Area Transportation Authority,Facebook,Transportation,Kansas City Area Transportation Authority,https://www.facebook.com/KCATAMetro,KCATAMetro,,
Transportation Central District,Facebook,Transportation,Department of Transportation,https://www.facebook.com/MoDOTCentralMissouriDistrict,MoDOTCentralMissouriDistrict,,
Transportation Southeast District,Facebook,Transportation,Department of Transportation,https://www.facebook.com/MoDOTSoutheast,MoDOTSoutheast,,
Department of Transportation,Facebook,Transportation,Department of Transportation,https://www.facebook.com/MoDOTStatewide,MoDOTStatewide,,
Arrive Alive - Save MO Lives,Facebook,Transportation,Department of Transportation,https://www.facebook.com/saveMOlives,saveMOlives,,
"Attorney General's Office - ""Personal""",Facebook,Attorney General,Attorney General,https://www.facebook.com/HawleyMO,HawleyMO,,Yes
"Auditor's Office - ""Personal""",Facebook,Auditor,Auditor,https://www.facebook.com/NicoleGallowayCPA/,NicoleGallowayCPA,,Yes
Auditor's Office,Facebook,Auditor,Auditor,https://www.facebook.com/MissouriStateAuditor/,MissouriStateAuditor,,
"Governor's Office - ""Personal""",Facebook,Governor,Governor's Office,https://www.facebook.com/EricGreitens/,EricGreitens,,Yes
Governor's Office,Facebook,Governor,Governor's Office,https://www.facebook.com/GovernorGreitens/,GovernorGreitens,,
Governor's Council on Disability,Facebook,Governor,Governor's Council on Disability,https://www.facebook.com/Governors-Council-on-Disability-102027953218042/,Governors-Council-on-Disability-102027953218042,,
"Secretary of State's Office - ""Personal""",Facebook,Secretary of State,Secretary of State,https://www.facebook.com/AshcroftForMO,AshcroftForMO,,Yes
State Archives,Facebook,Secretary of State,State Archives,https://www.facebook.com/missouristatearchives,missouristatearchives,,
Wolfner Library,Facebook,Secretary of State,,https://www.facebook.com/wolfnerlibrary,wolfnerlibrary,,
Treasurer's Office,Facebook,Treasurer,Treasurer's Office,https://www.facebook.com/MOTreasurer,MOTreasurer,,
"Treasurer's Office - ""Personal""",Facebook,Treasurer,Treasurer's Office,https://www.facebook.com/SchmittForMissouri/,SchmittForMissouri,,Yes
Lieutenant Governor's Office,Facebook,Lieutenant Governor,Lieutenant Governor's Office,https://www.facebook.com/MOLtGov/,MOLtGov,,
"Lieutenant Governor's Office - ""Personal""",Facebook,Lieutenant Governor,Lieutenant Governor's Office,https://www.facebook.com/TeamMikeParson/,TeamMikeParson,,Yes
St. Charles County Convention & Sports Facilities Authority,Facebook,Boards,St. Charles County Convention & Sports Facilities Authority,https://www.facebook.com//pages/St-Charles-Convention-Center/109090421078,pages/St-Charles-Convention-Center/109090421078,,
Missouri Local Government Employees Retirement System Board of Trustees,Facebook,,Missouri Local Government Employees Retirement System Board of Trustees,https://www.facebook.com/MissouriLAGERS,MissouriLAGERS,,
County Employees' Retirement Fund,Facebook,,,https://www.facebook.com/mocerf,mocerf,,
Kansas City Board of Election Commissioners,Facebook,Boards,Kansas City Board of Election Commissioners,https://www.facebook.com/pages/Kansas-City-Board-of-Election-Commissioners/206021713529,pages/Kansas-City-Board-of-Election-Commissioners/206021713529,,
Governor's Committee to End Homelessness,Facebook,,Governor's Committee to End Homelessness,https://www.facebook.com/pages/Missouri-Governors-Committee-to-End-Homelessness/183167281756772,pages/Missouri-Governors-Committee-to-End-Homelessness/183167281756772,,
Statewide Independent Living Council (MOSILC),Facebook,,Statewide Independent Living Council (MOSILC),https://www.facebook.com/pages/Missouri-Statewide-Independent-Living-Council/142671269136442,pages/Missouri-Statewide-Independent-Living-Council/142671269136442,,
St. Louis City Board of Election Commissioners,Facebook,,St. Louis City Board of Election Commissioners,https://www.facebook.com/pages/St-Louis-County-Board-of-Elections/163701791152,pages/St-Louis-County-Board-of-Elections/163701791152,,
Missouri Bar,Facebook,Missouri Bar,,https://www.facebook.com/missouribar,missouribar,,
